Coins,Symbols,Mentions this week,Mentions last week,Mentions two weeks ago,Mentions three weeks ago,Mentions four weeks ago,Sentiment this week,Sentiment last week,Sentiment two weeks ago,Sentiment three weeks ago,Sentiment four weeks ago,Price this week,Price last week,Price two weeks ago,Price three weeks ago,Price four weeks ago,Percent change this week
WeAreSatoshi,WSX,15,18,7,8,7,0.15413,0.33076111111111106,0.26545714285714284,0.4710375,0.4186571428571429,0.0,0.0,0.0,0.0,0.0,-52.37
Narrative,NRVE,16,11,7,3,5,0.24648437499999998,0.48927727272727267,0.2911142857142857,0.2936666666666667,0.43757,0.002617,0.002749,0.002341,0.002412,0.001929,-0.4
BlueCoin,BLU,1,1,3,5,3,0.4976136363636364,0.52842,0.38464999999999994,0.37618,0.4756625,0.0,0.0,0.0,0.0,0.0,
FoodCoin,FOOD,14,1,6,5,5,0.286125,0.50134375,0.1973,0.23615833333333336,0.062099999999999995,,,,,,-0.36
Indorse Token,IND,6,2,3,2,3,0.0,0.0,0.0,0.0,0.0,0.042393,0.050065,0.026043,0.026925,0.040854,4.88
Equal,EQL,45,28,15,20,11,0.406118888888889,0.3159535714285715,0.39406,0.4074425,0.5506636363636365,0.0,0.0,0.0,0.0,0.0,
Verify,CRED,73,48,33,30,18,0.33259931506849305,0.3143968750000001,0.2553393939393939,0.28928833333333337,0.48355000000000004,,0.011061,0.020972,,,-13.93
Next.exchange,NEXT,55,26,28,31,19,0.3175809090909092,0.36865000000000003,0.3277785714285716,0.33995806451612903,0.4982684210526316,0.164273,0.175135,0.204482,,0.220898,-8.26
TeslaCoin,TES,11,5,4,5,1,0.3697125,0.3995833333333334,0.0736875,0.07891999999999999,0.6523428571428571,0.007148,0.022861,0.012235,0.00734,0.0,-42.5
Cryptonite,XCN,4,2,5,1,2,0.0,0.0,0.0,0.0,0.0,0.000504,,,,,-0.03
ClearCoin,XCLR,72,34,27,20,7,0.3798618055555555,0.4133308823529412,0.3972925925925926,0.2348899999999999,0.4335785714285715,0.0,0.0,0.0,0.0,0.0,0.0
EverGreenCoin,EGC,7,3,1,1,3,0.4811785714285714,0.38798333333333335,0.6051500000000001,0.49795,0.49643333333333334,0.060588,0.049334,0.033418,0.0,0.0,22.0
View,VIEW,88,43,40,47,29,0.35588181818181813,0.37594534883720937,0.489865,0.3801276595744682,0.47688965517241366,,,,,,-20.0
RussiaCoin,RC,2,1,2,1,1,0.47715,0.49925,0.694625,0.4158,0.79235,0.0,0.0,0.0,0.0,0.0,0.0
DigitalPrice,DP,37,18,17,21,11,0.23886216216216213,0.47721111111111114,0.45171470588235296,0.4159357142857142,0.38436363636363635,0.001009,0.001229,,0.000437,0.000552,-16.06
Universe,UNI3,45,29,22,20,13,0.3025588888888888,0.3818258620689655,0.3917386363636364,0.30339,0.29008461538461544,0.000161,0.002458,0.002194,,,-93.32
Signals Network,SGN,2,1,3,2,2,0.498625,0.40235,0.5032166666666668,0.5942000000000001,0.50605,0.0,0.0,0.0,0.0,0.0,0.0
Universal Currency,UNIT,16,8,7,3,3,0.404065625,0.54345,0.4656571428571428,0.33226666666666665,0.37873333333333337,0.004508,0.005546,0.00441,,,-15.03
GenesisX,XGS,5,4,1,4,5,0.151,0.275225,0.12160000000000001,0.29262499999999997,0.35797,0.024206,0.00553,0.002913,0.00118,0.001657,254.06
Ethereum Meta,ETHM,9,4,2,3,3,0.5373833333333333,0.510775,0.594625,0.1892,0.1242333333333333,0.000504,0.000615,0.000583,0.00059,0.000552,-16.14
PopularCoin,POP,71,33,32,25,8,0.3518584507042254,0.25863787878787886,0.44909843749999995,0.402032,0.44430000000000003,9.3e-05,7.5e-05,0.000502,6.9e-05,0.000535,-8.89
GlobalToken,GLT,14,7,6,5,8,0.5268857142857142,0.4496285714285714,0.5019416666666667,0.42107,0.5273125,,,,,,0.0
Cream,CRM,11,2,4,4,1,0.24416363636363633,0.6827,0.458525,0.3386125,-0.4371,0.000908,0.000819,0.002796,0.000455,0.00116,-6.89
FundRequest,FND,6,1,5,6,4,0.22759166666666666,0.44815,0.44838000000000006,0.182725,0.5027375,0.0,0.0,0.0,0.0,0.0,0.0
Open Trading Network,OTN,13,11,9,7,6,0.41496538461538457,0.5080318181818182,0.5183055555555556,0.4168571428571428,0.5134083333333334,,0.037249,0.011887,0.017131,,-16.54
TagCoin,TAG,4,3,2,2,2,0.5215375,-0.09921666666666669,0.49955000000000005,0.779625,0.022125000000000006,0.024206,0.030111,0.026216,0.025371,,-17.92
Over Powered Coin,OPCX,30,17,11,8,7,0.36810666666666647,0.4433382352941177,0.46406818181818177,0.45984375,0.30055000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Ethereum Cash,ECASH,37,21,18,13,1,0.3891013513513515,0.43167619047619044,0.48939722222222226,0.3591615384615385,0.5786166666666667,0.006696,0.00365,0.003588,0.004154,0.00551,115.19
UltraCoin,UTC,3,2,2,1,1,0.35061666666666663,0.31320000000000003,0.48375,0.48415,0.4851,0.0,0.0,0.0,0.0,0.0,
Compound,COMP,254,214,106,72,87,0.5493692307692309,0.38986458333333335,0.4837590909090908,0.34625,0.42962500000000003,606.715371,565.761522,455.047145,486.388102,369.952457,7.26
Bitcoin Fast,BCF,32,17,15,17,15,0.3822234375,0.4529323529411765,0.34486666666666665,0.47817941176470585,0.3156566666666667,0.006047,0.004671,0.005011,0.00413,0.002761,43.36
Social Activity Token,SAT,6,3,2,1,3,0.5821833333333333,0.44839999999999997,0.429075,0.49915,0.5950166666666666,0.000786,0.000833,0.000662,0.000619,0.000478,3.04
AdCoin,ACC,67,41,28,26,17,0.38459029850746257,0.32087926829268304,0.3514375,0.5011903846153847,0.37172058823529414,0.0,0.0,0.0,0.0,0.0,-25.0
Swing,SWING,32,29,13,10,7,0.33832656250000004,0.4812327586206897,0.45193076923076914,0.4643650000000001,0.6229785714285713,0.0863,0.113998,0.072803,0.076909,0.072234,-18.0
InsaneCoin,INSN,38,20,6,13,4,0.3116881578947368,0.2790774999999999,0.2882833333333333,0.3242,0.197725,0.0,,,,,-7.14
Bitcoin Red,BTCRED,23,8,8,6,7,0.41123913043478255,0.36500000000000005,0.43101875,0.3799916666666667,0.4718071428571428,0.0,0.0,0.0,0.0,0.0,0.12
Version,V,53,42,28,35,17,0.38721415094339623,0.3640047619047619,0.5051464285714286,0.4157814285714287,0.38701470588235287,0.0,0.0,0.0,0.0,0.0,
ProCurrency,PROC,12,6,15,14,11,0.48828750000000004,0.4880333333333333,0.34149333333333337,0.45732499999999987,0.23834545454545458,0.0,0.0,0.0,0.0,0.0,12.5
GoldBlocks,GB,10,1,2,3,2,0.33468000000000003,0.32994999999999997,0.6645,0.41945000000000005,0.7308,0.0,0.0,0.0,0.0,,-33.33
SuperCoin,SUPER,1,2,1,1,13,0.4773978260869566,0.39648999999999995,0.5370394736842105,0.5346525000000001,0.22235384615384615,0.003029,0.002661,0.003273,0.003527,0.004479,-17.85
Block-Chain.com,BC,14,11,14,9,4,0.3864892857142857,0.25389545454545454,0.4580964285714285,0.5293444444444444,0.4990875,0.01411,0.009832,0.009904,0.01003,0.014911,46.26
VoteCoin,VOT,34,12,18,17,9,0.4951823529411765,0.5825333333333332,0.4750805555555555,0.35330588235294114,0.5253833333333333,0.000517,0.000615,0.000583,0.00059,0.000552,-14.23
Ethereum Gold,ETG,17,12,3,6,3,0.53085,0.44417083333333335,0.3920222222222222,0.4458,0.6471666666666667,0.0,0.0,0.0,0.0,0.0,19.36
Garlicoin,GRLC,331,35,25,18,41,0.3139166666666667,0.49955,0.0,0.0,-0.4557,0.123078,0.014823,0.013656,0.011327,0.015289,727.04
CoinO,CNO,84,63,40,46,17,0.31602976190476184,0.3678936507936509,0.37450624999999993,0.41840326086956525,0.3324,0.0,0.0,0.0,0.0,0.0,0.0
Pure,PUREX,48,23,21,22,9,0.38257187499999995,0.41391956521739137,0.4942738095238095,0.3877613636363636,0.13155555555555556,0.0,0.0,0.0,0.0,0.0,0.0
SmartCoin,SMC,100,52,30,29,19,0.36576550000000013,0.5127538461538462,0.4985299999999999,0.3904344827586207,0.4408000000000001,0.005382,0.02458,0.036119,0.038939,,-76.74
Sparks,SPK,16,6,2,10,3,0.350296875,0.3697166666666667,0.468175,0.41320500000000004,0.33646666666666664,,,,,0.0,29.03
Secret,SCRT,32,2,11,1,7,0.23621406249999996,0.19020714285714285,0.37240416666666665,0.18056363636363634,0.18218181818181822,2.946793,4.375364,3.175086,3.293888,2.582252,-36.14
EthBet,EBET,15,15,8,5,4,0.3620066666666666,0.48877,0.37758749999999996,0.40098,0.18308750000000001,0.0,0.0,0.0,0.0,0.0,
BoostCoin,BOST,7,1,1,6,4,0.44239285714285714,0.71675,0.49995,0.5359833333333334,0.405875,0.0,0.0,,,,0.0
BOAT,BOAT,14,14,5,3,1,0.1851285714285714,0.35214642857142847,0.21888999999999997,0.24598333333333336,0.6605,0.0,0.0,0.0,,0.0,0.0
X-Coin,XCO,1,1,1,1,1,0.2787,0.08220000000000002,-0.44345,0.3238,0.37345,,0.004916,,0.00236,0.002761,0.0
SpeedCash,SCS,4,2,2,3,1,0.4894,0.491925,0.53015,0.5532833333333332,0.49385,0.013758,0.01905,0.023013,,,-27.44
PostCoin,POST,82,56,41,40,31,0.3849274390243904,0.4035044642857145,0.36613780487804887,0.44490374999999993,0.34619032258064514,0.00498,0.004987,0.005811,0.007407,0.005508,0.76
JavaScript Token,JS,3,1,2,1,2,0.49585000000000007,0.7921499999999999,0.49745,0.4997,0.649975,0.00097,0.001495,0.001313,0.001369,0.001205,-34.14
ParallelCoin,DUO,7,2,3,2,1,0.6004571428571428,0.601,0.42569999999999997,0.699825,0.7784,0.46588,0.515718,0.494332,0.712068,0.589908,-24.24
SecureCoin,SRC,84,45,37,1,21,0.4060398809523809,0.428518888888889,0.4059094594594595,0.4664287500000001,0.4517595238095237,0.002316,0.002408,,0.002028,,-4.55
GambleCoin,GMCN,40,11,11,8,1,0.46018875000000004,0.23841363636363636,0.4737272727272728,0.4819625,0.42022000000000004,0.0,0.0,0.0,0.0,0.0,0.0
FLiK,FLIK,19,8,8,7,1,0.24301578947368427,0.21203124999999995,0.331525,0.31210000000000004,0.78445,0.0,0.0,0.0,0.0,0.0,
PonziCoin,PONZI,2,1,2,1,1,0.18662031250000002,-0.14322500000000002,-0.024599999999999983,0.6622,0.49385,0.002021,0.003591,0.002693,0.00194,0.001959,-42.41
Iconic,ICON,12,11,7,8,2,0.27948750000000006,0.21905454545454547,0.26085714285714284,0.30930625,0.27705,0.0,0.0,0.0,0.0,0.0,
BitCoin One,BTCONE,4,2,44,42,4,0.3954719512195123,0.38096132075471695,0.3653215909090909,0.5167285714285716,0.4336035714285716,0.000202,,,0.000236,0.000221,-6.39
HomeBlockCoin,HBC,1,2,1,1,2,0.8284,0.426675,0.82885,0.5369,-0.013799999999999979,16.521047,23.238873,19.961948,17.688433,17.081395,-19.21
Staker,STR,8,4,2,6,6,0.558575,0.3380625,0.41212499999999996,0.5854083333333334,0.4472916666666668,,0.003687,0.008156,0.01062,,49.18
Alpha Coin,APC,13,1,1,1,2,0.5355375,0.7809999999999999,0.41965,0.587725,0.499825,0.000972,0.001172,0.000583,0.000711,0.000444,-17.22
Terra,LUNA,24,9,6,10,14,0.3364625,0.656675,0.29068125,0.49243,0.2859,13.822197,15.837322,15.826301,18.514905,18.460751,-12.87
Project-X,NANOX,86,52,47,46,17,0.43522267441860457,0.46567499999999995,0.340763829787234,0.3849956521739131,0.39938529411764717,0.0,0.0,0.0,0.0,0.0,
Dollar Online,DOLLAR,2,7,6,2,2,0.3360181818181818,0.44662857142857143,0.5551333333333334,0.5680499999999999,-0.04169999999999997,,,,,,0.0
Filecoin,FIL,453,556,206,402,111,0.288995,0.24388636363636362,0.2658666666666667,0.226805,0.4041375,134.351181,183.18745,172.803939,171.992093,124.601954,-26.3
BitMax Token,BTMX,3,9,10,17,30,0.75345,0.0,0.5832,0.21585,0.7552000000000001,0.961578,1.427863,1.242972,1.262505,2.546738,-33.35
EduCoin,EDU,4,3,1,3,2,0.1636625,0.63505,0.49825,0.08655000000000002,0.499725,0.000238,0.000445,0.000502,0.000388,0.000389,-41.93
Game Stars,GST,1,1,1,1,2,0.48295,0.4211833333333333,0.0,0.47435,0.0,,,,,,0.0
WeToken,WT,92,49,51,36,22,0.4172184782608696,0.4110367346938775,0.4148588235294117,0.3609361111111111,0.3243477272727273,0.0,0.0,0.0,0.0,0.0,
CoinMeet,MEET,13,9,7,4,4,0.29044615384615385,0.48285555555555554,0.47540000000000004,0.47593749999999996,0.544,0.007684,0.013557,0.014383,0.010685,0.008903,-42.62
InsurChain,INSUR,4,4,3,3,1,0.4979875,0.4451875,0.4829833333333333,0.49665000000000004,0.49755,,,,,,21.28
nOS,NOS,76,42,25,29,16,0.07425000000000002,0.030921428571428565,0.14281599999999994,0.11478965517241378,0.0033625000000000183,0.014309,0.016484,,0.01742,0.018361,-12.29
TopChain,TOPC,29,12,12,14,6,0.4163586206896551,0.5101916666666667,0.5658333333333334,0.45726428571428573,0.36323333333333335,0.003987,0.00589,0.00488,0.004258,0.003922,-25.76
YOU COIN,YOU,85,60,42,44,19,0.3578523529411765,0.4091425,0.32543333333333324,0.3584534090909091,0.2075815789473684,0.014234,0.015187,0.013691,0.014506,0.011017,-13.15
Esports Token,EST,1,1,1,2,3,0.0,0.0,0.7996000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YouLive Coin,UC,61,41,39,30,13,0.359077868852459,0.4457999999999999,0.509451282051282,0.29557666666666665,0.3567884615384615,0.000294,0.000448,0.000429,0.000432,0.000369,-33.75
VeThor Token,VTHO,4,1,3,7,3,0.48166666666666663,0.0,0.4986,0.0,0.7258,0.016575,0.024417,0.016172,0.016853,0.019775,-31.81
United Bitcoin,UBTC,20,7,9,5,5,0.36089000000000004,0.47598571428571435,0.4284277777777778,0.38625000000000004,0.37972000000000006,1.425982,1.700823,1.790738,0.824565,0.837286,-16.4
Observer,OBSR,26,16,4,7,7,0.27015384615384613,0.34798437499999996,0.5068250000000001,0.28685714285714287,0.5350428571428572,0.020105,0.033021,0.042605,0.0,0.0,-40.08
BitUP Token,BUT,22,14,14,9,4,0.45535909090909094,0.33760357142857156,0.49386785714285714,0.4520055555555555,0.3538375,0.003121,0.003771,0.003074,0.003015,0.00317,-19.93
CoinEx Token,CET,24,24,17,14,8,0.45887500000000003,0.17145,0.49525,0.5728333333333333,0.0,,,,,,-12.88
InternationalCryptoX,INCX,13,10,10,11,6,0.39139230769230776,0.18419000000000002,0.5185850000000001,0.34913636363636363,0.46953333333333336,0.0,0.0,0.0,0.0,0.0,0.0
ThingsOperatingSystem,TOS,12,6,9,5,2,0.5732,0.530325,0.5488722222222222,0.28323,-0.11397500000000002,0.001748,0.002679,0.002016,0.001682,0.001784,-29.91
livepeer,LPT,9,7,12,9,24,0.41007499999999997,0.0,0.0,0.0,0.3835,27.012005,31.23913,30.798064,35.77964,23.583475,-12.53
MESSE TOKEN,MESSE,6,1,2,1,1,0.455725,0.6004,0.343775,-0.48035,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,
InvestDigital,IDT,45,25,31,21,17,0.4091422222222224,0.48587600000000003,0.407908064516129,0.4567261904761904,0.45179117647058825,0.007977,0.01621,0.024756,0.010939,0.007865,-51.35
